2102641	2675816	4414840	2656143	2456799	3058057	3087949	3895443	2542431	2196303
1078855	1941395	2017873	1557645	1827432	1623210	2198805	2542820	1935294	1560483
1643772	2209850	3109712	2272175	2396953	2849991	2845317	2967038	2190588	1749899
1362334	2073393	2589860	1837705	1566153	1488383	1992229	2319738	1735920	1456714
1596022	2780788	3096474	2463274	2584768	2563848	3046764	3142330	2767630	1747301
1028088	2035648	2053934	1665867	2313682	1865548	2581179	2551608	2183818	1969615
1571606	2835944	3290145	2526689	2832394	2899128	3643999	3944274	2871147	2062729
1397982	2353098	2614100	2561416	2366730	2826826	2813278	3080185	2340973	1529754
1898587	2895985	4126916	3341613	2439075	3303065	3282157	4066853	2602027	1877306
1220954	2027008	2584464	2047096	1755903	1961269	2289802	2709696	1856050	1479371
